player,draft_year,position,position_group,model_group,college,round,pick,projected_value,actual_value,actual_position_percentile,predicted_position_percentile,position_score,final_score,ceiling_score,floor_score,starter_probability,elite_probability,bust_probability,tier,outlier_type,model_explanation
Rick Woods,1982,DB,CB,DB,Boise St.,4.0,97.0,10.4,18.0,67.2,54.9,56.2,52.2,53.5,53.5,0.469,0.456,0.465,Depth / replacement-level profile,near_expected,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included
Brian Carpenter,1982,DB,CB,DB,Michigan,4.0,101.0,10.8,5.0,38.2,54.2,50.7,48.4,49.7,53.4,0.478,0.465,0.466,Depth / replacement-level profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included
George Floyd,1982,DB,CB,DB,Eastern Kentucky,4.0,107.0,10.2,2.0,22.7,52.2,42.5,42.0,43.1,53.1,0.455,0.447,0.469,Depth / replacement-level profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included
Monty Hunter,1982,DB,CB,DB,Salem,4.0,109.0,9.6,1.0,14.8,52.5,43.8,42.5,43.3,52.7,0.425,0.42,0.473,Depth / replacement-level profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included
Fred Marion,1982,DB,CB,DB,Miami (FL),5.0,112.0,8.8,50.0,93.1,50.2,30.1,32.2,32.8,48.0,0.409,0.411,0.52,Low-probability profile,major_positive_outlier,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included
Vance Bedford,1982,DB,CB,DB,Texas,5.0,119.0,9.0,0.0,5.1,50.6,30.1,32.2,32.6,47.5,0.412,0.402,0.525,Low-probability profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included
Von Mansfield,1982,DB,CB,DB,Wisconsin,5.0,122.0,9.9,2.0,22.7,53.9,50.7,47.7,49.2,48.1,0.449,0.446,0.519,Depth / replacement-level profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included
William Graham,1982,DB,CB,DB,Texas,5.0,127.0,9.6,21.0,71.4,53.0,47.9,45.4,46.7,48.0,0.435,0.432,0.52,Depth / replacement-level profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included
Dennis DeVaughn,1982,DB,CB,DB,Bishop,5.0,132.0,10.1,1.0,14.8,52.8,45.2,43.8,45.2,47.9,0.456,0.452,0.521,Depth / replacement-level profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included
Ricky Smith,1982,DB,CB,DB,Alabama St.,6.0,141.0,9.4,8.0,48.0,53.0,47.9,45.3,46.3,44.2,0.449,0.416,0.558,Depth / replacement-level profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included; meaningful downside risk
Durwood Roquemore,1982,DB,CB,DB,Texas A&M-Kingsville,6.0,157.0,9.6,5.0,38.2,53.6,50.7,47.6,48.9,45.6,0.458,0.437,0.544,Depth / replacement-level profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included
Tom Tutson,1982,DB,CB,DB,South Carolina St.,6.0,161.0,8.3,0.0,5.1,48.3,24.7,27.6,28.0,43.0,0.403,0.378,0.57,Low-probability profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included; meaningful downside risk
Mike Whitwell,1982,DB,CB,DB,Texas A&M,6.0,162.0,8.1,8.0,48.0,47.8,21.9,25.2,25.2,41.5,0.391,0.343,0.585,Low-probability profile,near_expected,lower draft-capital profile; private PFF-derived signals included; meaningful downside risk
Tom Morris,1982,DB,CB,DB,Michigan St.,7.0,185.0,8.8,2.0,22.7,50.5,30.1,31.9,31.9,42.4,0.433,0.364,0.576,Low-probability profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included; meaningful downside risk
Mark Kafentzis,1982,DB,CB,DB,Hawaii,8.0,199.0,7.2,7.0,45.0,46.8,13.7,18.6,18.6,39.1,0.363,0.279,0.609,Low-probability profile,near_expected,lower draft-capital profile; elevated bust risk; private PFF-derived signals included; meaningful downside risk
Bill Jackson,1982,DB,CB,DB,North Carolina,8.0,211.0,8.9,1.0,14.8,53.1,47.9,45.1,45.2,43.1,0.455,0.369,0.569,Depth / replacement-level profile,negative_outlier_missed_projection,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included; meaningful downside risk
Tate Randle,1982,DB,CB,DB,Texas Tech,8.0,220.0,7.4,13.0,59.5,47.8,21.9,24.7,24.7,39.7,0.379,0.28,0.603,Low-probability profile,positive_outlier_exceeded_projection,lower draft-capital profile; elevated bust risk; private PFF-derived signals included; meaningful downside risk
Ken Coffey,1982,DB,CB,DB,Texas St.,9.0,226.0,7.9,11.0,55.5,47.7,21.9,25.2,25.2,40.2,0.425,0.293,0.598,Low-probability profile,positive_outlier_exceeded_projection,lower draft-capital profile; private PFF-derived signals included; meaningful downside risk
Danny Wagoner,1982,DB,CB,DB,Kansas,9.0,231.0,7.9,2.0,22.7,49.4,24.7,27.4,27.4,40.0,0.424,0.295,0.6,Low-probability profile,near_expected,lower draft-capital profile; elevated bust risk; private PFF-derived signals included; meaningful downside risk
Bryan Howard,1982,DB,CB,DB,Tennessee St.,9.0,233.0,6.9,0.0,5.1,45.5,11.0,16.4,16.4,38.5,0.369,0.256,0.615,Low-probability profile,near_expected,lower draft-capital profile; elevated bust risk; private PFF-derived signals included; meaningful downside risk
Miles McPherson,1982,DB,CB,DB,New Haven,10.0,256.0,7.3,5.0,38.2,47.6,21.9,24.9,24.9,39.7,0.412,0.275,0.603,Low-probability profile,near_expected,lower draft-capital profile; elevated bust risk; private PFF-derived signals included; meaningful downside risk
Dana McLemore,1982,DB,CB,DB,Hawaii,10.0,269.0,7.3,7.0,45.0,47.5,20.5,23.9,23.9,39.5,0.412,0.271,0.605,Low-probability profile,near_expected,lower draft-capital profile; elevated bust risk; private PFF-derived signals included; meaningful downside risk
Andre Young,1982,DB,CB,DB,Louisiana Tech,10.0,273.0,7.2,9.0,51.0,45.6,12.3,17.9,17.9,38.3,0.417,0.267,0.617,Low-probability profile,positive_outlier_exceeded_projection,lower draft-capital profile; elevated bust risk; private PFF-derived signals included; meaningful downside risk
Darryl Hemphill,1982,DB,CB,DB,West Texas A&M,10.0,275.0,7.1,0.0,5.1,46.6,13.7,18.9,18.9,38.1,0.414,0.257,0.619,Low-probability profile,near_expected,lower draft-capital profile; elevated bust risk; private PFF-derived signals included; meaningful downside risk
Tim Washington,1982,DB,CB,DB,Fresno St.,12.0,334.0,7.3,0.0,5.1,46.8,13.7,19.1,19.1,39.5,0.412,0.271,0.605,Low-probability profile,near_expected,lower draft-capital profile; elevated bust risk; private PFF-derived signals included; meaningful downside risk
Terry Kinard,1983,DB,CB,DB,Clemson,1.0,10.0,21.1,49.0,92.6,73.9,91.7,85.3,86.8,80.8,0.734,0.72,0.192,Starter-caliber profile,near_expected,premium draft capital; strong starter probability; meaningful elite ceiling; private PFF-derived signals included; high-end model grade; strong position profile
Tim Lewis,1983,DB,CB,DB,Pittsburgh,1.0,11.0,20.1,21.0,71.4,73.0,88.9,82.8,84.2,77.4,0.725,0.703,0.226,Starter-caliber profile,near_expected,premium draft capital; strong starter probability; meaningful elite ceiling; private PFF-derived signals included; high-end model grade; strong position profile
Leonard Smith,1983,DB,CB,DB,McNeese St.,1.0,17.0,20.6,42.0,89.5,73.6,88.9,83.2,84.1,82.1,0.736,0.697,0.179,Starter-caliber profile,near_expected,top-50 draft capital; strong starter probability; meaningful elite ceiling; private PFF-derived signals included; high-end model grade; strong position profile
Joey Browner,1983,DB,CB,DB,USC,1.0,19.0,20.8,74.0,98.3,73.5,88.9,83.1,84.9,78.8,0.729,0.731,0.212,Starter-caliber profile,near_expected,top-50 draft capital; strong starter probability; meaningful elite ceiling; private PFF-derived signals included; high-end model grade; strong position profile
Gill Byrd,1983,DB,CB,DB,San Jose St.,1.0,22.0,24.4,58.0,95.5,77.7,94.4,88.5,88.8,84.2,0.79,0.722,0.158,High-end starter / premium prospect profile,near_expected,top-50 draft capital; strong starter probability; meaningful elite ceiling; private PFF-derived signals included; high-end model grade; strong position profile
Darrell Green,1983,DB,CB,DB,Texas A&M-Kingsville,1.0,28.0,19.0,103.0,99.6,71.0,81.5,77.2,77.8,80.2,0.711,0.666,0.198,Starter-caliber profile,near_expected,top-50 draft capital; strong starter probability; meaningful elite ceiling; private PFF-derived signals included
Mike Richardson,1983,DB,CB,DB,Arizona St.,2.0,33.0,19.5,39.0,87.8,72.5,84.3,79.3,79.7,79.1,0.72,0.657,0.209,Starter-caliber profile,near_expected,top-50 draft capital; strong starter probability; meaningful elite ceiling; private PFF-derived signals included
Wes Hopkins,1983,DB,CB,DB,SMU,2.0,35.0,16.2,55.0,94.8,66.9,79.6,74.2,76.3,71.4,0.657,0.664,0.286,Rotational / contributor profile,near_expected,top-50 draft capital; meaningful elite ceiling; private PFF-derived signals included
Keith Bostic,1983,DB,CB,DB,Michigan,2.0,42.0,19.1,34.0,84.3,72.0,83.3,78.5,79.5,77.1,0.711,0.681,0.229,Starter-caliber profile,near_expected,top-50 draft capital; strong starter probability; meaningful elite ceiling; private PFF-derived signals included
James Britt,1983,DB,CB,DB,LSU,2.0,43.0,18.3,13.0,59.5,70.6,81.5,76.8,77.2,77.5,0.704,0.644,0.225,Starter-caliber profile,near_expected,top-50 draft capital; strong starter probability; meaningful elite ceiling; private PFF-derived signals included
Cedric Mack,1983,DB,CB,DB,Baylor,2.0,44.0,17.8,33.0,83.1,69.4,81.5,76.4,77.0,76.9,0.696,0.635,0.231,Starter-caliber profile,near_expected,top-50 draft capital; meaningful elite ceiling; private PFF-derived signals included
Ray Horton,1983,DB,CB,DB,Washington,2.0,53.0,14.0,38.0,87.2,64.1,78.7,72.5,73.6,74.0,0.62,0.583,0.26,Rotational / contributor profile,near_expected,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included
Albert Lewis,1983,DB,CB,DB,Grambling St.,3.0,61.0,12.6,82.0,98.8,61.3,78.7,71.6,74.4,62.9,0.609,0.617,0.371,Rotational / contributor profile,near_expected,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included
Dave Duerson,1983,DB,CB,DB,Notre Dame,3.0,64.0,12.4,58.0,95.5,60.5,77.8,70.8,73.5,63.3,0.608,0.607,0.367,Rotational / contributor profile,near_expected,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included
Jeremiah Castille,1983,DB,CB,DB,Alabama,3.0,72.0,11.5,23.0,73.5,58.7,73.1,66.5,68.6,61.1,0.575,0.551,0.389,Rotational / contributor profile,near_expected,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included
Jimmy Turner,1983,DB,CB,DB,UCLA,3.0,81.0,9.9,6.0,41.9,53.3,62.0,57.4,59.5,58.9,0.541,0.521,0.411,Depth / replacement-level profile,near_expected,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included
Steve Brown,1983,DB,CB,DB,Oregon,3.0,83.0,10.1,30.0,80.0,56.8,69.4,63.2,65.6,59.6,0.54,0.541,0.404,Rotational / contributor profile,near_expected,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included
Greg Hill,1983,DB,CB,DB,Oklahoma St.,4.0,86.0,9.8,8.0,48.0,54.6,64.8,59.2,61.3,57.4,0.527,0.506,0.426,Rotational / contributor profile,near_expected,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included
Tom Holmoe,1983,DB,CB,DB,BYU,4.0,90.0,8.7,11.0,55.5,51.5,60.2,54.9,57.7,54.0,0.479,0.502,0.46,Depth / replacement-level profile,near_expected,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included
Danny Walters,1983,DB,CB,DB,Arkansas,4.0,95.0,9.3,17.0,65.7,53.8,63.9,58.1,60.3,55.5,0.502,0.496,0.445,Rotational / contributor profile,near_expected,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included
Vince Newsome,1983,DB,CB,DB,Washington,4.0,97.0,9.5,38.0,87.2,54.6,64.8,58.9,61.0,55.5,0.507,0.498,0.445,Rotational / contributor profile,major_positive_outlier,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included
Lionel Washington,1983,DB,CB,DB,Tulane,4.0,103.0,8.7,53.0,94.2,51.4,60.2,54.4,56.1,52.2,0.478,0.436,0.478,Depth / replacement-level profile,major_positive_outlier,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included
Bo Metcalf,1983,DB,CB,DB,Baylor,4.0,106.0,9.1,0.0,5.1,52.6,60.2,55.1,57.4,53.9,0.495,0.492,0.461,Depth / replacement-level profile,negative_outlier_missed_projection,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included
Demetrious Johnson,1983,DB,CB,DB,Missouri,5.0,115.0,7.7,20.0,70.1,48.6,50.9,46.5,48.4,45.2,0.43,0.411,0.548,Depth / replacement-level profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included
Steve Haworth,1983,DB,CB,DB,Oklahoma,6.0,142.0,6.3,1.0,14.8,43.2,26.9,27.8,29.3,40.4,0.361,0.366,0.596,Low-probability profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included; meaningful downside risk
Victor Heflin,1983,DB,CB,DB,Delaware St.,6.0,143.0,6.2,1.0,14.8,43.2,26.9,27.6,28.3,42.0,0.359,0.327,0.58,Low-probability profile,near_expected,lower draft-capital profile; private PFF-derived signals included; meaningful downside risk
George Schmitt,1983,DB,CB,DB,Delaware,6.0,157.0,6.8,1.0,14.8,45.8,37.0,35.4,35.9,43.4,0.389,0.326,0.566,Low-probability profile,near_expected,lower draft-capital profile; private PFF-derived signals included; meaningful downside risk
Eric Williams,1983,DB,CB,DB,North Carolina St.,6.0,164.0,6.3,21.0,71.4,43.8,30.6,30.7,32.2,42.6,0.374,0.371,0.574,Low-probability profile,positive_outlier_exceeded_projection,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included; meaningful downside risk
Myron Dupree,1983,DB,CB,DB,North Carolina Central,7.0,172.0,5.7,1.0,14.8,40.8,17.6,20.3,20.8,37.5,0.344,0.302,0.625,Low-probability profile,near_expected,lower draft-capital profile; elevated bust risk; private PFF-derived signals included; meaningful downside risk
Perry Williams,1983,DB,CB,DB,North Carolina St.,7.0,178.0,7.0,46.0,91.4,46.9,39.8,38.2,39.0,42.3,0.44,0.366,0.577,Low-probability profile,major_positive_outlier,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included; meaningful downside risk
Carl Lee,1983,DB,CB,DB,Marshall,7.0,186.0,6.3,69.0,97.8,43.0,26.9,27.3,27.3,39.4,0.37,0.278,0.606,Low-probability profile,major_positive_outlier,lower draft-capital profile; elevated bust risk; private PFF-derived signals included; meaningful downside risk
James Griffin,1983,DB,CB,DB,Middle Tenn. St.,7.0,193.0,6.3,19.0,68.7,44.0,31.5,31.5,32.6,39.2,0.406,0.36,0.608,Low-probability profile,positive_outlier_exceeded_projection,lower draft-capital profile; meaningful elite ceiling; elevated bust risk; private PFF-derived signals included; meaningful downside risk
Troy West,1983,DB,CB,DB,USC,8.0,200.0,6.9,1.0,14.8,47.8,45.4,42.2,42.6,41.6,0.45,0.341,0.584,Depth / replacement-level profile,near_expected,lower draft-capital profile; private PFF-derived signals included; meaningful downside risk
David Greenwood,1983,DB,CB,DB,Wisconsin,8.0,206.0,6.1,5.0,38.2,44.2,32.4,32.0,32.3,40.1,0.404,0.321,0.599,Low-probability profile,near_expected,lower draft-capital profile; private PFF-derived signals included; meaningful downside risk
Ronnie Lippett,1983,DB,CB,DB,Miami (FL),8.0,214.0,6.3,44.0,90.4,44.3,32.4,31.5,31.5,41.0,0.383,0.261,0.59,Low-probability profile,major_positive_outlier,lower draft-capital profile; private PFF-derived signals included; meaningful downside risk
Davlin Mullen,1983,DB,CB,DB,Western Kentucky,8.0,217.0,6.0,5.0,38.2,44.2,32.4,31.7,31.7,40.7,0.39,0.292,0.593,Low-probability profile,near_expected,lower draft-capital profile; private PFF-derived signals included; meaningful downside risk
Kevin Potter,1983,DB,CB,DB,Missouri,9.0,226.0,5.0,1.0,14.8,39.7,14.8,17.5,17.5,39.9,0.318,0.197,0.601,Low-probability profile,near_expected,lower draft-capital profile; elevated bust risk; private PFF-derived signals included; meaningful downside risk
Al Gross,1983,DB,CB,DB,Arizona,9.0,246.0,5.6,21.0,71.4,43.1,26.9,27.5,27.5,39.2,0.389,0.273,0.608,Low-probability profile,positive_outlier_exceeded_projection,lower draft-capital profile; elevated bust risk; private PFF-derived signals included; meaningful downside risk
Bobby Humphery,1983,DB,CB,DB,New Mexico St.,9.0,247.0,5.3,24.0,74.4,40.4,15.7,18.5,18.5,40.7,0.336,0.217,0.593,Low-probability profile,positive_outlier_exceeded_projection,lower draft-capital profile; private PFF-derived signals included; meaningful downside risk
Mossy Cade,1984,DB,CB,DB,Texas,1.0,6.0,32.4,8.0,48.0,83.9,100.0,94.4,94.7,89.0,0.846,0.788,0.11,High-end starter / premium prospect profile,negative_outlier_missed_projection,premium draft capital; strong starter probability; meaningful elite ceiling; private PFF-derived signals included; elite model grade; top-tier position profile
Leonard Coleman,1984,DB,CB,DB,Vanderbilt,1.0,8.0,31.9,9.0,51.0,83.9,100.0,94.2,94.9,86.1,0.834,0.796,0.139,High-end starter / premium prospect profile,negative_outlier_missed_projection,premium draft capital; strong starter probability; meaningful elite ceiling; private PFF-derived signals included; elite model grade; top-tier position profile
Russell Carter,1984,DB,CB,DB,SMU,1.0,10.0,31.4,16.0,64.2,83.7,100.0,94.2,94.7,86.6,0.837,0.788,0.134,High-end starter / premium prospect profile,near_expected,premium draft capital; strong starter probability; meaningful elite ceiling; private PFF-derived signals included; elite model grade; top-tier position profile
Don Rogers,1984,DB,CB,DB,UCLA,1.0,18.0,25.0,13.0,59.5,76.9,87.1,82.8,84.0,78.7,0.763,0.748,0.213,Starter-caliber profile,near_expected,top-50 draft capital; strong starter probability; meaningful elite ceiling; private PFF-derived signals included; high-end model grade; strong position profile
Terry Taylor,1984,DB,CB,DB,Southern Illinois,1.0,22.0,25.7,40.0,88.4,77.4,89.1,84.7,85.2,86.5,0.768,0.734,0.135,Starter-caliber profile,near_expected,top-50 draft capital; strong starter probability; meaningful elite ceiling; private PFF-derived signals included; high-end model grade; strong position profile
Scott Case,1984,DB,CB,DB,Oklahoma,2.0,32.0,25.0,50.0,93.1,77.9,90.5,85.7,85.7,85.2,0.788,0.696,0.148,Starter-caliber profile,near_expected,top-50 draft capital; strong starter probability; meaningful elite ceiling; private PFF-derived signals included; high-end model grade; strong position profile
Victor Scott,1984,DB,CB,DB,Colorado,2.0,40.0,23.7,7.0,45.0,75.4,81.0,78.1,78.1,85.0,0.764,0.648,0.15,Starter-caliber profile,negative_outlier_missed_projection,top-50 draft capital; strong starter probability; meaningful elite ceiling; private PFF-derived signals included
Chris Rockins,1984,DB,CB,DB,Oklahoma St.,2.0,48.0,21.6,11.0,55.5,72.9,78.9,75.8,75.8,83.5,0.738,0.619,0.165,Starter-caliber profile,near_expected,top-50 draft capital; strong starter probability; meaningful elite ceiling; private PFF-derived signals included
Bo Eason,1984,DB,CB,DB,UC Davis,2.0,54.0,19.4,11.0,55.5,70.9,76.9,73.4,74.0,78.1,0.676,0.653,0.219,Rotational / contributor profile,near_expected,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included
Fred Acorn,1984,DB,CB,DB,Texas,3.0,57.0,14.9,1.0,14.8,63.9,72.8,68.0,68.5,72.7,0.608,0.556,0.273,Rotational / contributor profile,negative_outlier_missed_projection,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included
Rod McSwain,1984,DB,CB,DB,Clemson,3.0,63.0,15.9,11.0,55.5,65.7,74.8,69.9,71.4,67.6,0.627,0.614,0.324,Rotational / contributor profile,near_expected,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included
Terry Hoage,1984,DB,CB,DB,Georgia,3.0,68.0,15.3,29.0,79.1,64.7,74.1,69.0,71.1,63.2,0.617,0.619,0.368,Rotational / contributor profile,near_expected,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included
Rodney Bellinger,1984,DB,CB,DB,Miami (FL),3.0,77.0,13.7,8.0,48.0,61.4,68.7,64.1,64.8,63.3,0.594,0.53,0.367,Rotational / contributor profile,near_expected,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included
Tony Lilly,1984,DB,CB,DB,Florida,3.0,78.0,13.6,11.0,55.5,60.9,68.0,63.4,64.7,61.6,0.585,0.548,0.384,Rotational / contributor profile,near_expected,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included
Evan Cooper,1984,DB,CB,DB,Michigan,4.0,88.0,11.4,11.0,55.5,58.3,63.9,59.0,59.7,57.1,0.527,0.471,0.429,Rotational / contributor profile,near_expected,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included
Randy Robbins,1984,DB,CB,DB,Arizona,4.0,89.0,9.2,24.0,74.4,51.7,52.4,49.1,51.3,50.4,0.475,0.482,0.496,Depth / replacement-level profile,near_expected,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included
Mark Robinson,1984,DB,CB,DB,Penn St.,4.0,90.0,9.2,22.0,72.7,52.3,52.4,48.8,50.7,49.3,0.454,0.458,0.507,Depth / replacement-level profile,near_expected,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included
Craig Curry,1984,DB,CB,DB,Texas,4.0,93.0,9.8,7.0,45.0,53.7,55.1,51.4,52.4,56.1,0.476,0.442,0.439,Depth / replacement-level profile,near_expected,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included
Patrick Allen,1984,DB,CB,DB,Utah St.,4.0,100.0,9.7,24.0,74.4,53.9,55.8,51.8,53.1,54.6,0.467,0.452,0.454,Depth / replacement-level profile,near_expected,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included
Martin Bayless,1984,DB,CB,DB,Bowling Green,4.0,101.0,9.0,45.0,90.9,51.9,52.4,48.9,51.6,48.9,0.455,0.493,0.511,Depth / replacement-level profile,major_positive_outlier,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included
Barney Bussey,1984,DB,CB,DB,South Carolina St.,5.0,119.0,9.0,21.0,71.4,52.8,53.1,48.9,50.4,44.3,0.451,0.421,0.557,Depth / replacement-level profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included; meaningful downside risk
Jitter Fields,1984,DB,CB,DB,Texas,5.0,123.0,8.6,2.0,22.7,51.0,49.0,45.4,46.9,42.6,0.427,0.405,0.574,Depth / replacement-level profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included; meaningful downside risk
Tom Flynn,1984,DB,CB,DB,Pittsburgh,5.0,126.0,8.4,20.0,70.1,51.0,49.0,45.4,46.3,43.1,0.439,0.381,0.569,Depth / replacement-level profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included; meaningful downside risk
Jeff Fuller,1984,DB,CB,DB,Texas A&M,5.0,139.0,9.3,20.0,70.1,53.9,55.8,51.6,54.0,46.3,0.468,0.485,0.537,Depth / replacement-level profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included
Ernest Gibson,1984,DB,CB,DB,Furman,6.0,151.0,7.2,9.0,51.0,46.7,30.6,30.7,31.3,38.7,0.363,0.335,0.613,Low-probability profile,near_expected,lower draft-capital profile; elevated bust risk; private PFF-derived signals included; meaningful downside risk
Chris Brown,1984,DB,CB,DB,Notre Dame,6.0,164.0,7.2,3.0,28.6,46.9,32.0,31.7,32.2,37.3,0.378,0.326,0.627,Low-probability profile,near_expected,lower draft-capital profile; elevated bust risk; private PFF-derived signals included; meaningful downside risk
Stacey Toran,1984,DB,CB,DB,Notre Dame,6.0,168.0,8.1,20.0,70.1,50.2,44.2,41.9,43.4,42.5,0.429,0.411,0.575,Depth / replacement-level profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included; meaningful downside risk
Kevin Ross,1984,DB,CB,DB,Temple,7.0,173.0,7.2,67.0,97.4,47.7,35.4,34.2,35.4,36.6,0.365,0.353,0.634,Low-probability profile,major_positive_outlier,lower draft-capital profile; meaningful elite ceiling; elevated bust risk; private PFF-derived signals included; meaningful downside risk
Harry Hamilton,1984,DB,CB,DB,Penn St.,7.0,176.0,6.3,33.0,83.1,44.1,21.8,23.6,24.2,32.9,0.352,0.313,0.671,Low-probability profile,positive_outlier_exceeded_projection,lower draft-capital profile; elevated bust risk; private PFF-derived signals included; meaningful downside risk
Daryll Jones,1984,DB,CB,DB,Georgia,7.0,181.0,7.6,3.0,28.6,49.7,40.1,38.0,38.4,36.4,0.399,0.332,0.636,Low-probability profile,near_expected,lower draft-capital profile; elevated bust risk; private PFF-derived signals included; meaningful downside risk
