player,draft_year,position,position_group,model_group,college,projected_pick,projected_round,projection_rank_source,overall_rank_2026,position_rank_2026,projection_score,ceiling_score,floor_score,starter_probability,elite_probability,bust_probability,projected_value,predicted_position_percentile,position_score,projection_tier,projection_explanation
Caleb Downs,2026.0,S,S,DB,Ohio St.,11.0,1.0,,1,1,84.2,87.8,69.1,0.673,0.694,0.309,15.503,65.162,93.9,Starter-caliber projection,premium projected draft slot; meaningful elite ceiling; PFF-powered model projection
Keylan Rutledge,2026.0,G,IOL,IOL,Georgia Tech,26.0,1.0,,15,1,81.5,85.4,62.7,0.599,0.603,0.373,18.192,58.426,93.7,Starter-caliber projection,top-50 projected draft slot; meaningful elite ceiling; PFF-powered model projection
Kenyon Sadiq,2026.0,TE,TE,TE,Oregon,16.0,1.0,,15,1,81.5,85.1,64.9,0.638,0.649,0.351,6.634,62.377,91.8,Starter-caliber projection,top-50 projected draft slot; meaningful elite ceiling; PFF-powered model projection
Chris Johnson,2026.0,CB,CB,DB,San Diego St.,27.0,1.0,,17,2,81.2,84.6,67.8,0.66,0.674,0.322,14.437,63.962,90.3,Starter-caliber projection,top-50 projected draft slot; meaningful elite ceiling; PFF-powered model projection
Francis Mauigoa,2026.0,OT,OT,OT,Miami (FL),10.0,1.0,,18,7,80.9,84.4,63.4,0.613,0.605,0.366,16.984,59.389,92.4,Starter-caliber projection,premium projected draft slot; meaningful elite ceiling; PFF-powered model projection
Dillon Thieneman,2026.0,S,S,DB,Oregon,25.0,1.0,,19,2,80.7,84.1,68.6,0.658,0.672,0.314,14.501,63.692,89.7,Starter-caliber projection,top-50 projected draft slot; meaningful elite ceiling; PFF-powered model projection
Olaivavega Ioane,2026.0,OG,IOL,IOL,Penn St.,14.0,1.0,,20,2,80.4,84.5,61.7,0.58,0.602,0.383,17.834,58.095,92.6,Starter-caliber projection,premium projected draft slot; meaningful elite ceiling; PFF-powered model projection
Jordyn Tyson,2026.0,WR,WR,WR,Arizona St.,8.0,1.0,,21,2,80.1,83.4,66.0,0.641,0.648,0.34,11.509,62.756,89.6,Starter-caliber projection,premium projected draft slot; meaningful elite ceiling; PFF-powered model projection
David Bailey,2026.0,OLB,LB,LB,Texas Tech,2.0,1.0,,22,3,79.9,83.5,64.2,0.645,0.65,0.358,14.861,61.602,89.6,Starter-caliber projection,premium projected draft slot; meaningful elite ceiling; PFF-powered model projection
Caleb Banks,2026.0,DT,IDL,IDL,Florida,18.0,1.0,,23,1,79.0,82.7,65.1,0.628,0.654,0.349,13.936,61.64,88.5,Starter-caliber projection,top-50 projected draft slot; meaningful elite ceiling; PFF-powered model projection
KC Concepcion,2026.0,WR,WR,WR,Texas A&M,24.0,1.0,,24,3,78.2,81.8,64.6,0.644,0.659,0.354,11.18,62.105,87.1,Starter-caliber projection,top-50 projected draft slot; meaningful elite ceiling; PFF-powered model projection
Makai Lemon,2026.0,WR,WR,WR,USC,20.0,1.0,,25,4,78.0,81.4,64.7,0.638,0.649,0.353,11.135,62.054,86.9,Starter-caliber projection,top-50 projected draft slot; meaningful elite ceiling; PFF-powered model projection
Fernando Mendoza,2026.0,QB,QB,QB,Indiana,1.0,1.0,,26,1,77.6,81.1,62.2,0.603,0.601,0.378,12.293,58.287,88.1,Starter-caliber projection,premium projected draft slot; meaningful elite ceiling; PFF-powered model projection
Jadarian Price,2026.0,RB,RB,RB,Notre Dame,32.0,1.0,,27,2,77.1,80.1,67.6,0.62,0.623,0.324,10.57,61.625,86.0,Starter-caliber projection,top-50 projected draft slot; meaningful elite ceiling; PFF-powered model projection
Chase Bisontis,2026.0,G,IOL,IOL,Texas A&M,34.0,2.0,,27,3,77.1,80.9,61.4,0.574,0.588,0.386,17.331,57.224,88.2,Starter-caliber projection,top-50 projected draft slot; meaningful elite ceiling; PFF-powered model projection
Omar Cooper Jr.,2026.0,WR,WR,WR,Indiana,30.0,1.0,,29,5,75.9,79.3,64.6,0.632,0.647,0.354,10.865,61.351,84.2,Starter-caliber projection,top-50 projected draft slot; meaningful elite ceiling; PFF-powered model projection
Eli Stowers,2026.0,TE,TE,TE,Vanderbilt,54.0,2.0,,30,2,75.5,78.9,60.6,0.596,0.587,0.394,5.439,57.911,85.6,Starter-caliber projection,Day 2 projected draft slot; meaningful elite ceiling; PFF-powered model projection
Malachi Lawrence,2026.0,DE,EDGE,EDGE,Central Florida,23.0,1.0,,31,3,74.6,77.4,65.0,0.634,0.613,0.35,13.778,60.081,82.8,Rotational / contributor projection,top-50 projected draft slot; meaningful elite ceiling; PFF-powered model projection
Kayden McDonald,2026.0,DT,IDL,IDL,Ohio St.,36.0,2.0,,32,2,74.5,78.0,61.9,0.608,0.627,0.381,12.403,59.804,83.1,Rotational / contributor projection,top-50 projected draft slot; meaningful elite ceiling; PFF-powered model projection
Colton Hood,2026.0,CB,CB,DB,Tennessee,37.0,2.0,,33,3,74.2,77.4,63.6,0.62,0.625,0.364,12.594,60.354,82.3,Rotational / contributor projection,top-50 projected draft slot; meaningful elite ceiling; PFF-powered model projection
Marlin Klein,2026.0,TE,TE,TE,Michigan,59.0,2.0,,34,3,73.5,76.6,60.9,0.577,0.561,0.391,5.203,56.832,83.4,Rotational / contributor projection,Day 2 projected draft slot; meaningful elite ceiling; PFF-powered model projection
Logan Jones,2026.0,C,IOL,IOL,Iowa,57.0,2.0,,35,4,73.2,76.9,58.7,0.564,0.576,0.413,16.405,56.002,83.3,Rotational / contributor projection,Day 2 projected draft slot; meaningful elite ceiling; PFF-powered model projection
Josiah Trotter,2026.0,LB,LB,LB,Missouri,46.0,2.0,,36,4,72.7,76.4,59.1,0.594,0.614,0.409,12.383,58.068,81.4,Rotational / contributor projection,top-50 projected draft slot; meaningful elite ceiling; PFF-powered model projection
Anthony Hill Jr.,2026.0,LB,LB,LB,Texas,60.0,2.0,,37,5,72.6,76.2,59.2,0.59,0.607,0.408,12.425,58.077,81.4,Rotational / contributor projection,Day 2 projected draft slot; meaningful elite ceiling; PFF-powered model projection
T.J. Parker,2026.0,DE,EDGE,EDGE,Clemson,35.0,2.0,,38,4,72.3,75.1,63.6,0.618,0.605,0.364,13.61,59.346,80.0,Rotational / contributor projection,top-50 projected draft slot; meaningful elite ceiling; PFF-powered model projection
Jake Golday,2026.0,LB,LB,LB,Cincinnati,51.0,2.0,,39,6,72.2,75.6,60.1,0.596,0.602,0.399,12.345,57.845,80.8,Rotational / contributor projection,Day 2 projected draft slot; meaningful elite ceiling; PFF-powered model projection
Jacob Rodriguez,2026.0,LB,LB,LB,Texas Tech,43.0,2.0,,40,7,72.0,75.1,60.5,0.589,0.585,0.395,12.376,57.805,80.7,Rotational / contributor projection,top-50 projected draft slot; meaningful elite ceiling; PFF-powered model projection
Denzel Boston,2026.0,WR,WR,WR,Washington,39.0,2.0,,40,6,72.0,75.5,61.4,0.595,0.614,0.386,9.573,58.703,80.2,Rotational / contributor projection,top-50 projected draft slot; meaningful elite ceiling; PFF-powered model projection
Christen Miller,2026.0,DT,IDL,IDL,Georgia,42.0,2.0,,42,3,71.9,75.3,60.6,0.593,0.607,0.394,11.667,58.522,80.2,Rotational / contributor projection,top-50 projected draft slot; meaningful elite ceiling; PFF-powered model projection
Jake Slaughter,2026.0,C,IOL,IOL,Florida,63.0,2.0,,43,5,71.5,75.3,58.2,0.55,0.571,0.418,16.067,55.53,81.3,Rotational / contributor projection,Day 2 projected draft slot; meaningful elite ceiling; PFF-powered model projection
Sam Roush,2026.0,TE,TE,TE,Stanford,69.0,3.0,,44,4,71.4,74.4,59.4,0.571,0.548,0.406,5.065,55.837,80.9,Rotational / contributor projection,Day 2 projected draft slot; meaningful elite ceiling; PFF-powered model projection
Akheem Mesidor,2026.0,DE,EDGE,EDGE,Miami (FL),22.0,1.0,,45,5,71.1,73.1,64.7,0.625,0.565,0.353,13.298,58.801,78.6,Rotational / contributor projection,top-50 projected draft slot; meaningful elite ceiling; PFF-powered model projection
Brandon Cisse,2026.0,CB,CB,DB,South Carolina,52.0,2.0,,46,4,70.6,73.5,62.9,0.605,0.604,0.371,11.786,59.077,77.9,Rotational / contributor projection,Day 2 projected draft slot; meaningful elite ceiling; PFF-powered model projection
Avieon Terrell,2026.0,CB,CB,DB,Clemson,48.0,2.0,,47,5,70.5,73.8,61.0,0.6,0.616,0.39,11.635,59.109,77.9,Rotational / contributor projection,top-50 projected draft slot; meaningful elite ceiling; PFF-powered model projection
Nate Boerkircher,2026.0,TE,TE,TE,Texas A&M,56.0,2.0,,48,5,70.3,73.1,59.4,0.565,0.54,0.406,4.878,55.609,79.5,Rotational / contributor projection,Day 2 projected draft slot; meaningful elite ceiling; PFF-powered model projection
Peter Woods,2026.0,DT,IDL,IDL,Clemson,29.0,1.0,,49,4,70.1,73.7,59.5,0.597,0.61,0.405,11.683,57.349,77.9,Rotational / contributor projection,top-50 projected draft slot; meaningful elite ceiling; PFF-powered model projection
Germie Bernard,2026.0,WR,WR,WR,Alabama,47.0,2.0,,50,7,69.5,72.8,60.6,0.59,0.601,0.394,9.102,57.758,77.0,Rotational / contributor projection,top-50 projected draft slot; meaningful elite ceiling; PFF-powered model projection
De'Zhaun Stribling,2026.0,WR,WR,WR,Mississippi,33.0,2.0,,51,8,69.2,72.5,61.6,0.598,0.608,0.384,9.096,57.689,76.4,Rotational / contributor projection,top-50 projected draft slot; meaningful elite ceiling; PFF-powered model projection
Emmanuel McNeil-Warren,2026.0,S,S,DB,Toledo,58.0,2.0,,51,3,69.2,72.4,61.2,0.599,0.614,0.388,11.622,58.525,76.1,Rotational / contributor projection,Day 2 projected draft slot; meaningful elite ceiling; PFF-powered model projection
CJ Allen,2026.0,LB,LB,LB,Georgia,53.0,2.0,,53,8,68.7,72.2,57.9,0.586,0.6,0.421,11.832,57.023,76.3,Rotational / contributor projection,Day 2 projected draft slot; meaningful elite ceiling; PFF-powered model projection
Justin Jefferson,2026.0,LB,LB,LB,Alabama,149.0,5.0,,53,8,68.7,68.7,75.5,0.561,0.33,0.245,12.461,57.156,77.3,Rotational / contributor projection,later projected draft slot; PFF-powered model projection
D'Angelo Ponds,2026.0,CB,CB,DB,Indiana,50.0,2.0,,55,6,68.5,71.6,61.3,0.594,0.601,0.387,11.377,58.317,75.4,Rotational / contributor projection,top-50 projected draft slot; meaningful elite ceiling; PFF-powered model projection
Eli Raridon,2026.0,TE,TE,TE,Notre Dame,95.0,3.0,,55,6,68.5,71.5,57.7,0.555,0.539,0.423,4.745,54.984,77.3,Rotational / contributor projection,Day 2 projected draft slot; meaningful elite ceiling; PFF-powered model projection
Zion Young,2026.0,DE,EDGE,EDGE,Missouri,45.0,2.0,,57,6,68.3,70.9,61.8,0.608,0.582,0.382,12.912,57.763,75.1,Rotational / contributor projection,top-50 projected draft slot; meaningful elite ceiling; PFF-powered model projection
Treydan Stukes,2026.0,CB,CB,DB,Arizona,38.0,2.0,,58,7,68.0,70.5,63.6,0.591,0.576,0.364,11.384,58.054,74.8,Rotational / contributor projection,top-50 projected draft slot; meaningful elite ceiling; PFF-powered model projection
Lee Hunter,2026.0,DT,IDL,IDL,Texas Tech,49.0,2.0,,58,5,68.0,70.9,59.6,0.567,0.558,0.404,11.081,56.513,75.9,Rotational / contributor projection,top-50 projected draft slot; meaningful elite ceiling; PFF-powered model projection
Ty Simpson,2026.0,QB,QB,QB,Alabama,13.0,1.0,,58,2,68.0,70.8,60.6,0.583,0.566,0.394,11.34,56.575,75.5,Rotational / contributor projection,premium projected draft slot; meaningful elite ceiling; PFF-powered model projection
Davison Igbinosun,2026.0,CB,CB,DB,Ohio St.,62.0,2.0,,61,8,67.6,70.7,60.5,0.593,0.6,0.395,11.259,57.783,74.2,Rotational / contributor projection,Day 2 projected draft slot; meaningful elite ceiling; PFF-powered model projection
Max Klare,2026.0,TE,TE,TE,Ohio St.,61.0,2.0,,62,7,67.2,70.0,56.8,0.559,0.528,0.432,4.64,54.524,75.7,Rotational / contributor projection,Day 2 projected draft slot; meaningful elite ceiling; PFF-powered model projection
Keagen Trost,2026.0,OL,OL,OL,Missouri,93.0,3.0,,63,1,65.8,67.0,73.6,0.676,0.643,0.264,10.415,64.001,67.9,Rotational / contributor projection,Day 2 projected draft slot; meaningful elite ceiling; PFF-powered model projection
R Mason Thomas,2026.0,DE,EDGE,EDGE,Oklahoma,40.0,2.0,,64,7,65.6,68.2,61.1,0.601,0.58,0.389,12.385,56.906,71.6,Rotational / contributor projection,top-50 projected draft slot; meaningful elite ceiling; PFF-powered model projection
Gabe Jacas,2026.0,DE,EDGE,EDGE,Illinois,55.0,2.0,,64,7,65.6,68.0,61.4,0.598,0.573,0.386,12.45,56.921,71.6,Rotational / contributor projection,Day 2 projected draft slot; meaningful elite ceiling; PFF-powered model projection
Cashius Howell,2026.0,DE,EDGE,EDGE,Texas A&M,41.0,2.0,,66,9,65.3,67.6,61.3,0.595,0.566,0.387,12.271,56.85,71.3,Rotational / contributor projection,top-50 projected draft slot; meaningful elite ceiling; PFF-powered model projection
Febechi Nwaiwu,2026.0,OL,OL,OL,Oklahoma,106.0,4.0,,67,2,64.8,65.9,72.5,0.673,0.632,0.275,10.043,63.244,66.8,Rotational / contributor projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Bud Clark,2026.0,S,S,DB,TCU,64.0,2.0,,68,4,64.3,66.8,59.7,0.564,0.548,0.403,10.174,55.584,70.8,Rotational / contributor projection,Day 2 projected draft slot; meaningful elite ceiling; PFF-powered model projection
Carver Willis,2026.0,OL,OL,OL,Washington,127.0,4.0,,69,3,64.2,65.4,71.4,0.67,0.627,0.286,9.853,62.749,66.3,Rotational / contributor projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
A.J. Haulcy,2026.0,S,S,DB,LSU,78.0,3.0,,70,5,64.0,67.1,58.0,0.558,0.567,0.42,10.23,55.272,70.6,Rotational / contributor projection,Day 2 projected draft slot; meaningful elite ceiling; PFF-powered model projection
Domonique Orange,2026.0,DT,IDL,IDL,Iowa St.,82.0,3.0,,71,6,63.8,66.8,56.6,0.551,0.549,0.434,10.114,54.947,70.7,Rotational / contributor projection,Day 2 projected draft slot; meaningful elite ceiling; PFF-powered model projection
Chris McClellan,2026.0,DT,IDL,IDL,Missouri,77.0,3.0,,72,7,63.7,66.5,56.4,0.552,0.546,0.436,10.167,54.892,70.5,Rotational / contributor projection,Day 2 projected draft slot; meaningful elite ceiling; PFF-powered model projection
Derrick Moore,2026.0,DE,EDGE,EDGE,Michigan,44.0,2.0,,73,10,63.5,65.6,60.8,0.593,0.556,0.392,12.051,56.448,69.0,Rotational / contributor projection,top-50 projected draft slot; meaningful elite ceiling; PFF-powered model projection
Oscar Delp,2026.0,TE,TE,TE,Georgia,73.0,3.0,,74,8,63.2,65.8,55.2,0.541,0.507,0.448,4.368,53.008,70.8,Rotational / contributor projection,Day 2 projected draft slot; meaningful elite ceiling; PFF-powered model projection
Markel Bell,2026.0,OT,OT,OT,Miami (FL),68.0,3.0,,75,8,62.9,64.8,58.5,0.557,0.508,0.415,14.319,54.966,69.5,Rotational / contributor projection,Day 2 projected draft slot; meaningful elite ceiling; PFF-powered model projection
Emmanuel Pregnon,2026.0,G,IOL,IOL,Oregon,88.0,3.0,,76,6,61.8,65.2,54.6,0.525,0.536,0.454,14.529,52.518,69.0,Rotational / contributor projection,Day 2 projected draft slot; meaningful elite ceiling; PFF-powered model projection
Caleb Tiernan,2026.0,OT,OT,OT,Northwestern,97.0,3.0,,77,9,61.7,63.7,57.0,0.543,0.502,0.43,13.778,54.389,68.2,Rotational / contributor projection,Day 2 projected draft slot; meaningful elite ceiling; PFF-powered model projection
Tacario Davis,2026.0,CB,CB,DB,Washington,72.0,3.0,,78,9,61.6,64.6,58.2,0.547,0.555,0.418,9.806,54.118,67.6,Rotational / contributor projection,Day 2 projected draft slot; meaningful elite ceiling; PFF-powered model projection
Enrique Cruz Jr.,2026.0,OL,OL,OL,Kansas,179.0,5.0,,78,4,61.6,62.8,67.9,0.67,0.615,0.321,9.316,61.468,63.2,Rotational / contributor projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Ja'Kobi Lane,2026.0,WR,WR,WR,USC,80.0,3.0,,80,9,61.3,64.0,57.5,0.556,0.55,0.425,8.008,54.768,67.0,Rotational / contributor projection,Day 2 projected draft slot; meaningful elite ceiling; PFF-powered model projection
Antonio Williams,2026.0,WR,WR,WR,Clemson,71.0,3.0,,81,10,61.0,63.4,58.5,0.559,0.541,0.415,7.93,54.705,66.5,Rotational / contributor projection,Day 2 projected draft slot; meaningful elite ceiling; PFF-powered model projection
Daylen Everette,2026.0,CB,CB,DB,Georgia,85.0,3.0,,82,10,60.8,63.7,57.2,0.546,0.551,0.428,9.756,53.893,66.6,Rotational / contributor projection,Day 2 projected draft slot; meaningful elite ceiling; PFF-powered model projection
Malachi Fields,2026.0,WR,WR,WR,Notre Dame,74.0,3.0,,82,11,60.8,63.7,56.6,0.548,0.555,0.434,7.888,54.667,66.5,Rotational / contributor projection,Day 2 projected draft slot; meaningful elite ceiling; PFF-powered model projection
Austin Barber,2026.0,OT,OT,OT,Florida,86.0,3.0,,84,10,60.5,62.7,56.7,0.537,0.509,0.433,13.509,54.038,66.6,Rotational / contributor projection,Day 2 projected draft slot; meaningful elite ceiling; PFF-powered model projection
Zavion Thomas,2026.0,WR,WR,WR,LSU,89.0,3.0,,85,12,60.2,63.1,56.0,0.553,0.558,0.44,7.793,54.437,65.6,Rotational / contributor projection,Day 2 projected draft slot; meaningful elite ceiling; PFF-powered model projection
Caleb Douglas,2026.0,WR,WR,WR,Texas Tech,75.0,3.0,,85,12,60.2,63.0,56.3,0.552,0.554,0.437,7.929,54.419,65.6,Rotational / contributor projection,Day 2 projected draft slot; meaningful elite ceiling; PFF-powered model projection
Matt Gulbin,2026.0,OL,OL,OL,Michigan St.,209.0,6.0,,87,5,60.0,61.2,66.4,0.667,0.613,0.336,9.208,60.88,61.1,Rotational / contributor projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Tyler Onyedim,2026.0,DT,IDL,IDL,Texas A&M,66.0,3.0,,88,8,59.8,62.4,54.6,0.546,0.527,0.454,9.639,53.419,65.6,Rotational / contributor projection,Day 2 projected draft slot; meaningful elite ceiling; PFF-powered model projection
Ted Hurst,2026.0,WR,WR,WR,Georgia St.,84.0,3.0,,89,14,59.5,62.4,55.7,0.549,0.555,0.443,7.818,54.242,64.7,Rotational / contributor projection,Day 2 projected draft slot; meaningful elite ceiling; PFF-powered model projection
Albert Regis,2026.0,DT,IDL,IDL,Texas A&M,81.0,3.0,,90,9,59.4,61.7,56.0,0.537,0.512,0.44,9.549,53.346,65.2,Rotational / contributor projection,Day 2 projected draft slot; meaningful elite ceiling; PFF-powered model projection
Chris Brazzell II,2026.0,WR,WR,WR,Tennessee,83.0,3.0,,91,15,59.2,62.0,55.7,0.548,0.553,0.443,7.769,54.181,64.3,Rotational / contributor projection,Day 2 projected draft slot; meaningful elite ceiling; PFF-powered model projection
Chris Bell,2026.0,WR,WR,WR,Louisville,94.0,3.0,,92,16,59.0,61.8,55.3,0.543,0.545,0.447,7.666,54.169,64.2,Rotational / contributor projection,Day 2 projected draft slot; meaningful elite ceiling; PFF-powered model projection
Zachariah Branch,2026.0,WR,WR,WR,Georgia,79.0,3.0,,93,17,58.7,61.3,55.8,0.554,0.541,0.442,7.678,54.048,63.7,Rotational / contributor projection,Day 2 projected draft slot; meaningful elite ceiling; PFF-powered model projection
Jayden Williams,2026.0,OL,OL,OL,Mississippi,217.0,7.0,,93,6,58.7,60.0,65.2,0.664,0.61,0.348,9.098,60.189,59.6,Rotational / contributor projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Gavin Gerhardt,2026.0,OL,OL,OL,Cincinnati,235.0,7.0,,93,6,58.7,59.9,65.0,0.663,0.608,0.35,9.106,60.111,59.6,Rotational / contributor projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Evan Beerntsen,2026.0,OL,OL,OL,Northwestern,253.0,7.0,,96,8,58.6,59.9,65.0,0.659,0.609,0.35,9.104,60.134,59.6,Rotational / contributor projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Keyron Crawford,2026.0,DE,EDGE,EDGE,Auburn,67.0,3.0,,97,11,58.4,60.8,57.2,0.567,0.551,0.428,11.047,54.625,62.7,Rotational / contributor projection,Day 2 projected draft slot; meaningful elite ceiling; PFF-powered model projection
Drew Allar,2026.0,QB,QB,QB,Penn St.,76.0,3.0,,98,3,58.1,60.7,54.5,0.532,0.521,0.455,8.918,52.733,63.6,Rotational / contributor projection,Day 2 projected draft slot; meaningful elite ceiling; PFF-powered model projection
Jakobe Thomas,2026.0,S,S,DB,Miami (FL),98.0,3.0,,98,6,58.1,61.1,55.3,0.522,0.537,0.447,9.116,52.987,63.6,Rotational / contributor projection,Day 2 projected draft slot; meaningful elite ceiling; PFF-powered model projection
Gennings Dunker,2026.0,OT,OT,OT,Iowa,96.0,3.0,,100,11,57.9,60.1,54.1,0.535,0.501,0.459,12.927,53.223,63.4,Depth / developmental projection,Day 2 projected draft slot; meaningful elite ceiling; PFF-powered model projection
Will Kacmarek,2026.0,TE,TE,TE,Ohio St.,87.0,3.0,,101,9,57.8,60.0,53.4,0.53,0.494,0.466,4.14,52.045,63.6,Depth / developmental projection,Day 2 projected draft slot; meaningful elite ceiling; PFF-powered model projection
Carson Beck,2026.0,QB,QB,QB,Miami (FL),65.0,3.0,,102,4,57.3,59.8,54.9,0.527,0.509,0.451,8.85,52.588,62.7,Depth / developmental projection,Day 2 projected draft slot; meaningful elite ceiling; PFF-powered model projection
Jaishawn Barham,2026.0,DE,EDGE,EDGE,Michigan,92.0,3.0,,103,12,57.0,59.6,55.8,0.559,0.552,0.442,10.825,54.205,61.0,Depth / developmental projection,Day 2 projected draft slot; meaningful elite ceiling; PFF-powered model projection
Julian Neal,2026.0,CB,CB,DB,Arkansas,99.0,3.0,,104,11,56.8,59.0,57.5,0.521,0.508,0.425,9.069,52.535,61.8,Depth / developmental projection,Day 2 projected draft slot; meaningful elite ceiling; PFF-powered model projection
Matthew Hibner,2026.0,TE,TE,TE,SMU,133.0,4.0,,105,10,56.6,59.0,53.1,0.511,0.484,0.469,4.052,51.451,62.5,Depth / developmental projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Jalen Farmer,2026.0,G,IOL,IOL,Kentucky,113.0,4.0,,106,7,56.3,59.2,53.7,0.508,0.516,0.463,14.095,51.63,61.7,Depth / developmental projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Jalen Huskey,2026.0,S,S,DB,Maryland,100.0,3.0,,107,7,55.2,58.0,54.6,0.515,0.525,0.454,8.836,52.08,59.9,Depth / developmental projection,Day 2 projected draft slot; meaningful elite ceiling; PFF-powered model projection
Parker Brailsford,2026.0,C,IOL,IOL,Alabama,146.0,5.0,,108,8,54.9,57.9,52.4,0.505,0.519,0.476,13.648,51.127,59.9,Depth / developmental projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Jermod McCoy,2026.0,CB,CB,DB,Tennessee,101.0,4.0,,109,12,54.8,57.5,53.2,0.522,0.52,0.468,8.863,51.76,59.3,Depth / developmental projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Trey Zuhn III,2026.0,OT,OT,OT,Texas A&M,91.0,3.0,,110,12,54.6,56.8,53.9,0.52,0.501,0.461,12.574,52.418,59.0,Depth / developmental projection,Day 2 projected draft slot; meaningful elite ceiling; PFF-powered model projection
Kaelon Black,2026.0,RB,RB,RB,Indiana,90.0,3.0,,111,3,54.3,56.3,54.5,0.519,0.481,0.455,6.473,51.371,59.0,Depth / developmental projection,Day 2 projected draft slot; meaningful elite ceiling; PFF-powered model projection
Jude Bowry,2026.0,OT,OT,OT,Boston Col.,102.0,4.0,,112,13,53.9,56.1,52.4,0.516,0.494,0.476,12.431,52.16,58.3,Depth / developmental projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Genesis Smith,2026.0,S,S,DB,Arizona,131.0,4.0,,113,8,53.6,56.2,53.5,0.512,0.512,0.465,8.604,51.432,57.9,Depth / developmental projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
